id;nome;artistas;album;release_date;duracao_ms;popularity;explicit;url;stem_path;BPM;Root_key;energia;acousticness;danceability;valence
31v2AQlx4pDI7kmnLxBkem;Mmm Mmm Mmm Mmm;Crash Test Dummies;God Shuffled His Feet;1993.0;235.173;65;False;https://open.spotify.com/track/31v2AQlx4pDI7kmnLxBkem;guitar_stems/Crash_Test_Dummies_-_Mmm_Mmm_Mmm_Mmm_(Official_Video).wav;94.0;Eb major;0.0067433505319058895;0.5893967870128294;0.5225054264251059;0.7458821207284927
4R9MweXSxCektsdVJ2uS8V;Someday I'll Be Saturday Night;Bon Jovi;Cross Road;1994.0;279.173;54;False;https://open.spotify.com/track/4R9MweXSxCektsdVJ2uS8V;guitar_stems/Bon_Jovi_-_Someday_I'll_Be_Saturday_Night_(Intl._Version)_(Official_Music_Video).wav;64.0;E major;0.05915354937314987;0.6212202635961208;0.24866140852341506;0.9995466828346252
7ofV2J7Ndzo2s5NBEgfpxl;The Show Must Go On - Remastered 2011;Queen;Greatest Hits II (Remastered);1991.0;263.626;49;False;https://open.spotify.com/track/7ofV2J7Ndzo2s5NBEgfpxl;;;;;;;
6oNvmplQGUkmAh441Teows;I Touch Myself;Divinyls;Divinyls;1991.0;227.64;63;False;https://open.spotify.com/track/6oNvmplQGUkmAh441Teows;guitar_stems/Divinyls_-_I_Touch_Myself_(Official_Music_Video).wav;113.0;Gb major;0.03856081888079643;0.5863049445465722;0.4371202760903078;0.886908558011055
17S4XrLvF5jlGvGCJHgF51;Learning To Fly;Tom Petty and the Heartbreakers;Into The Great Wide Open;1991.0;242.106;72;False;https://open.spotify.com/track/17S4XrLvF5jlGvGCJHgF51;guitar_stems/Tom_Petty_And_The_Heartbreakers_-_Learning_To_Fly_(Version_1).wav;117.0;C major;0.01744293048977852;0.5967850184660936;0.4155503118836893;0.9087498664855956
4PkJ7c9y1CwpuVOiJODnCZ;Someday;Nickelback;The Long Road;2003.0;207.466;73;False;https://open.spotify.com/track/4PkJ7c9y1CwpuVOiJODnCZ;guitar_stems/Nickelback_-_Someday.wav;82.0;D major;0.03685691952705383;0.6122234726144082;0.271237702229112;1.0634957045316695
4t1fWWJQs5V9YErfsrDslC;Cryin';Aerosmith;Get A Grip;1993.0;308.56;72;False;https://open.spotify.com/track/4t1fWWJQs5V9YErfsrDslC;guitar_stems/Aerosmith_-_Cryin'_(Official_Music_Video).wav;105.0;A major;0.08587305247783661;0.5943173550871277;0.34705287570411236;0.911082637310028
0aGQHMr7bc23Y9Ts84ffop;Around the World;Red Hot Chili Peppers;Californication (Deluxe Edition);1999.0;238.733;70;True;https://open.spotify.com/track/0aGQHMr7bc23Y9Ts84ffop;guitar_stems/Red_Hot_Chili_Peppers_-_Around_The_World_[Official_Music_Video]_[HD_UPGRADE].wav;96.0;C major;0.07315247505903244;0.558690991189833;0.917281132796693;0.7809443727135658
3tRv4ZYZimrL27flnjgeR6;Every You Every Me;Placebo;Without You I'm Nothing;1998.0;213.8;2;False;https://open.spotify.com/track/3tRv4ZYZimrL27flnjgeR6;guitar_stems/Placebo_-_Every_You_Every_Me_(Official_Music_Video).wav;66.0;D minor;0.031517889350652695;0.6289391371611505;0.30648629377809244;1.0221925735473631
5vHLwhxxlGzmClMcxRRFPr;Lithium;Nirvana;Nevermind (Remastered);1991.0;257.053;73;False;https://open.spotify.com/track/5vHLwhxxlGzmClMcxRRFPr;guitar_stems/Evanescence_-_Lithium.wav;61.0;Bb major;0.04836144670844078;0.6369242236899478;0.2502257206040375;1.1281310766935349
2VSbEXqs6NbNiZSTcHlIDR;My Sacrifice;Creed;Weathered;2001.0;294.6;76;False;https://open.spotify.com/track/2VSbEXqs6NbNiZSTcHlIDR;guitar_stems/Creed_-_My_Sacrifice.wav;64.0;D major;0.05534495785832405;0.6190476025563032;0.2428103293122128;1.1620063751935958
1OxcIUqVmVYxT6427tbhDW;Fly Away;Lenny Kravitz;5;1998.0;221.332;75;False;https://open.spotify.com/track/1OxcIUqVmVYxT6427tbhDW;guitar_stems/Lenny_Kravitz_-_Fly_Away_(Official_Music_Video).wav;80.0;A minor;0.05035107955336571;0.6302401070911231;0.7232930270839824;1.1822891771793365
3ovjw5HZZv43SxTwApooCM;Wind Of Change;Scorpions;Crazy World;1990.0;312.36;80;False;https://open.spotify.com/track/3ovjw5HZZv43SxTwApooCM;guitar_stems/Scorpions_-_Wind_Of_Change_(Official_Music_Video).wav;76.0;C major;0.04912109673023224;0.5660529393714802;0.41339911413305563;0.8885098189115525
6nswV1Lz3OZkaiCJfmVUOa;The Unforgiven II;Metallica;Reload;1997.0;396.44;67;False;https://open.spotify.com/track/6nswV1Lz3OZkaiCJfmVUOa;guitar_stems/Metallica_-_The_Unforgiven_II_(Official_Music_Video).wav;66.0;G# minor;0.07278367877006531;0.594144015342956;0.3534259186975088;1.0664493799209593
5qlJg0Wbj3sslxfwiaRNpq;"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack";Aerosmith;I Don't Want To Miss A Thing EP;1998.0;299.723;77;False;https://open.spotify.com/track/5qlJg0Wbj3sslxfwiaRNpq;;;;;;;
697M5JB8FDIyRXEXgl1pBZ;From the Inside;Linkin Park;Meteora (Bonus Edition);2003.0;175.506;66;False;https://open.spotify.com/track/697M5JB8FDIyRXEXgl1pBZ;guitar_stems/From_The_Inside_(Official_Music_Video)_[4K_UPGRADE]_–_Linkin_Park.wav;95.0;C# minor;0.08185799419879913;0.6157104334905876;0.2736209799138239;1.0162402242422104
577MNC3o3L0lNIzx9abqOk;Thank You For Loving Me;Bon Jovi;Crush;2000.0;308.933;64;False;https://open.spotify.com/track/577MNC3o3L0lNIzx9abqOk;guitar_stems/Bon_Jovi_-_Thank_You_For_Loving_Me_(Official_Music_Video).wav;66.0;D major;0.03613920509815216;0.595357082368363;0.3052559262077713;0.9069632023572921
57iDDD9N9tTWe75x6qhStw;Bitter Sweet Symphony - Remastered 2016;The Verve;Urban Hymns (Remastered 2016);1997.0;357.266;82;False;https://open.spotify.com/track/57iDDD9N9tTWe75x6qhStw;;;;;;;
3PYdxIDuBIuJSDGwfptFx4;My Immortal - Band Version;Evanescence;Fallen;2003.0;273.36;59;False;https://open.spotify.com/track/3PYdxIDuBIuJSDGwfptFx4;;;;;;;
2nvC4i2aMo4CzRjRflysah;In My Place;Coldplay;A Rush of Blood to the Head;2002.0;226.68;74;False;https://open.spotify.com/track/2nvC4i2aMo4CzRjRflysah;guitar_stems/Coldplay_-_In_My_Place_(Official_4K_Video).wav;73.0;A major;0.06205253303050995;0.580806900537788;0.36775524622054473;0.9019488394260406
5kcsc92tGAjS0uvhDY3Mok;Ode To My Family;The Cranberries;No Need To Argue (The Complete Sessions 1994-1995);1994.0;271.533;73;False;https://open.spotify.com/track/5kcsc92tGAjS0uvhDY3Mok;guitar_stems/The_Cranberries_-_Ode_To_My_Family_(Official_Music_Video).wav;95.0;D major;0.04026109352707863;0.5737719167500519;0.39146380982098045;0.8724598735570908
23zzKOubAzAu8xlQdkVvZ2;Janie's Got A Gun;Aerosmith;Big Ones;1994.0;329.626;45;False;https://open.spotify.com/track/23zzKOubAzAu8xlQdkVvZ2;guitar_stems/Aerosmith_-_Janie's_Got_A_Gun.wav;58.0;F major;0.039024848490953445;0.6038865948960541;0.4416459472403151;0.8987893402576447
3y9zMGuxWS8xkpOxNPfiMZ;Miss You Love;Silverchair;Neon Ballroom;1999.0;240.733;43;False;https://open.spotify.com/track/3y9zMGuxWS8xkpOxNPfiMZ;guitar_stems/Silverchair_-_Miss_You_Love_(Official_Video).wav;72.0;D major;0.014297044835984707;0.58798675438161;0.4086914601977506;0.9292661726474761
