URL,mime-type,nato-digital,numero-de-paginas,megabytes
data\outros\1011248.pdf,application/pdf,True,3,0.05
data\outros\1011249.pdf,application/pdf,True,6,0.1
data\outros\1011250.pdf,application/pdf,True,5,0.09
data\outros\1011251.pdf,application/pdf,True,6,0.13
data\outros\1011252.pdf,application/pdf,True,7,0.16
data\outros\1011253.pdf,application/pdf,True,3,0.08
data\outros\1011254.pdf,application/pdf,True,2,0.05
data\outros\1011255.pdf,application/pdf,True,5,0.1
data\outros\1011256.pdf,application/pdf,True,23,0.55
data\outros\1011257.pdf,application/pdf,True,4,0.07
data\outros\1011258.pdf,application/pdf,True,8,0.19
data\outros\1018730.pdf,application/pdf,True,4,0.08
data\outros\1018731.pdf,application/pdf,True,9,0.19
data\outros\1018732.pdf,application/pdf,True,3,0.09
data\outros\1018733.pdf,application/pdf,True,8,0.2
data\outros\1018734.pdf,application/pdf,True,4,0.08
data\outros\1018735.pdf,application/pdf,True,4,0.08
data\outros\1018736.pdf,application/pdf,True,4,0.07
data\outros\1018737.pdf,application/pdf,True,5,0.1
data\outros\1018738.pdf,application/pdf,True,8,0.19
data\outros\1018739.pdf,application/pdf,True,12,0.29
data\outros\1018740.pdf,application/pdf,True,6,0.12
data\outros\1018741.pdf,application/pdf,True,4,0.07
data\outros\1018742.pdf,application/pdf,True,4,0.08
data\outros\1018743.pdf,application/pdf,True,6,0.15
data\outros\1018744.pdf,application/pdf,True,6,0.12
data\outros\1018745.pdf,application/pdf,True,7,0.16
data\outros\1018746.pdf,application/pdf,True,4,0.09
data\outros\1018747.pdf,application/pdf,True,8,0.14
data\outros\1018748.pdf,application/pdf,True,3,0.06
data\outros\1018749.pdf,application/pdf,True,9,0.19
data\outros\1018750.pdf,application/pdf,True,4,0.07
data\outros\1018751.pdf,application/pdf,True,5,0.11
data\outros\1018752.pdf,application/pdf,True,3,0.05
data\outros\1018753.pdf,application/pdf,True,4,0.07
data\outros\1018754.pdf,application/pdf,True,4,0.07
data\outros\1018755.pdf,application/pdf,True,3,0.06
data\outros\1018756.pdf,application/pdf,True,8,0.19
data\outros\1018757.pdf,application/pdf,True,8,0.18
data\outros\1018758.pdf,application/pdf,True,8,0.26
data\outros\1018759.pdf,application/pdf,True,3,0.05
data\outros\1018760.pdf,application/pdf,True,3,0.06
data\outros\1018761.pdf,application/pdf,True,4,0.07
data\outros\1018762.pdf,application/pdf,True,7,0.16
data\outros\1018763.pdf,application/pdf,True,4,0.08
data\outros\1018764.pdf,application/pdf,True,7,0.16
data\outros\1018765.pdf,application/pdf,True,5,0.1
data\outros\1018766.pdf,application/pdf,True,5,0.12
data\outros\1018767.pdf,application/pdf,True,5,0.09
data\outros\1018768.pdf,application/pdf,True,10,0.22
data\outros\1018769.pdf,application/pdf,True,8,0.15
data\outros\1018770.pdf,application/pdf,True,5,0.09
data\outros\1018771.pdf,application/pdf,True,3,0.06
data\outros\1018772.pdf,application/pdf,True,6,0.09
data\outros\1018773.pdf,application/pdf,True,4,0.07
data\outros\1018774.pdf,application/pdf,True,4,0.06
data\outros\1018775.pdf,application/pdf,True,5,0.11
data\outros\1018776.pdf,application/pdf,True,4,0.07
data\outros\1018777.pdf,application/pdf,True,5,0.11
data\outros\1018778.pdf,application/pdf,True,3,0.07
data\outros\1018779.pdf,application/pdf,True,8,0.16
data\outros\1018780.pdf,application/pdf,True,4,0.08
data\outros\1018781.pdf,application/pdf,True,3,0.06
data\outros\1018782.pdf,application/pdf,True,10,0.21
data\outros\1018783.pdf,application/pdf,True,5,0.09
data\outros\1018784.pdf,application/pdf,True,5,0.1
data\outros\1018785.pdf,application/pdf,True,6,0.12
data\outros\1018786.pdf,application/pdf,True,4,0.08
data\outros\1018787.pdf,application/pdf,True,4,0.09
data\outros\1018788.pdf,application/pdf,True,8,0.16
data\outros\1018792.pdf,application/pdf,True,5,0.09
data\outros\1026341.pdf,application/pdf,True,6,0.13
data\outros\1026342.pdf,application/pdf,True,11,0.25
data\outros\1026343.pdf,application/pdf,True,5,0.1
data\outros\1026344.pdf,application/pdf,True,4,0.08
data\outros\1026345.pdf,application/pdf,True,4,0.08
data\outros\1026346.pdf,application/pdf,True,11,0.24
data\outros\1026347.pdf,application/pdf,True,5,0.1
data\outros\1026348.pdf,application/pdf,True,4,0.09
data\outros\1026349.pdf,application/pdf,True,10,0.27
data\outros\1026350.pdf,application/pdf,True,3,0.05
data\outros\1026351.pdf,application/pdf,True,4,0.07
data\outros\1026352.pdf,application/pdf,True,3,0.07
data\outros\1026353.pdf,application/pdf,True,12,0.23
data\outros\1026354.pdf,application/pdf,True,4,0.06
data\outros\1026355.pdf,application/pdf,True,5,0.09
data\outros\1026356.pdf,application/pdf,True,5,0.11
data\outros\1026357.pdf,application/pdf,True,3,0.06
data\outros\1026358.pdf,application/pdf,True,5,0.1
data\outros\1026359.pdf,application/pdf,True,11,0.28
data\outros\1026360.pdf,application/pdf,True,5,0.11
data\outros\1026361.pdf,application/pdf,True,6,0.11
data\outros\1026362.pdf,application/pdf,True,6,0.12
data\outros\1026363.pdf,application/pdf,True,6,0.12
data\outros\1026364.pdf,application/pdf,True,4,0.09
data\outros\1026365.pdf,application/pdf,True,3,0.06
data\outros\1026366.pdf,application/pdf,True,4,0.08
data\outros\1026367.pdf,application/pdf,True,4,0.07
data\outros\1026368.pdf,application/pdf,True,4,0.07
data\outros\1026369.pdf,application/pdf,True,5,0.12
data\outros\1026370.pdf,application/pdf,True,5,0.1
data\outros\1026371.pdf,application/pdf,True,6,0.11
data\outros\1026372.pdf,application/pdf,True,5,0.1
data\outros\1026373.pdf,application/pdf,True,4,0.07
data\outros\1026374.pdf,application/pdf,True,5,0.1
data\outros\1026375.pdf,application/pdf,True,4,0.08
data\outros\1026376.pdf,application/pdf,True,3,0.06
data\outros\1026377.pdf,application/pdf,True,6,0.11
data\outros\1026378.pdf,application/pdf,True,6,0.14
data\outros\1026379.pdf,application/pdf,True,5,0.1
data\outros\1026380.pdf,application/pdf,True,2,0.05
data\outros\1026381.pdf,application/pdf,True,6,0.15
data\outros\1026382.pdf,application/pdf,True,5,0.09
data\outros\1026383.pdf,application/pdf,True,3,0.07
data\outros\1026384.pdf,application/pdf,True,2,0.04
data\outros\1026385.pdf,application/pdf,True,7,0.11
data\outros\1026386.pdf,application/pdf,True,7,0.13
data\outros\1026387.pdf,application/pdf,True,4,0.09
data\outros\1026388.pdf,application/pdf,True,5,0.09
data\outros\1026389.pdf,application/pdf,True,5,0.08
data\outros\1026390.pdf,application/pdf,True,4,0.06
data\outros\1026391.pdf,application/pdf,True,5,0.09
data\outros\1026392.pdf,application/pdf,True,5,0.09
data\outros\1026393.pdf,application/pdf,True,13,0.27
data\outros\1026394.pdf,application/pdf,True,6,0.14
data\outros\1026395.pdf,application/pdf,True,9,0.17
data\outros\1026396.pdf,application/pdf,True,3,0.05
data\outros\1026397.pdf,application/pdf,True,3,0.07
data\outros\1026398.pdf,application/pdf,True,12,0.29
data\outros\1026399.pdf,application/pdf,True,6,0.12
data\outros\1026400.pdf,application/pdf,True,4,0.07
data\outros\103061.pdf,application/pdf,True,4,0.08
data\outros\103062.pdf,application/pdf,True,2,0.03
data\outros\103063.pdf,application/pdf,True,6,0.08
data\outros\103064.pdf,application/pdf,True,3,0.04
data\outros\103065.pdf,application/pdf,True,4,0.09
data\outros\103066.pdf,application/pdf,True,4,0.12
data\outros\103067.pdf,application/pdf,True,2,0.07
data\outros\103068.pdf,application/pdf,True,4,0.05
data\outros\103069.pdf,application/pdf,True,3,0.07
data\outros\103070.pdf,application/pdf,True,2,0.04
data\outros\103071.pdf,application/pdf,True,3,0.09
data\outros\103072.pdf,application/pdf,True,5,0.07
data\outros\103074.pdf,application/pdf,True,3,0.08
data\outros\103075.pdf,application/pdf,True,2,0.06
data\outros\103076.pdf,application/pdf,True,2,0.03
data\outros\103077.pdf,application/pdf,True,2,0.03
data\outros\103078.pdf,application/pdf,True,2,0.03
data\outros\103079.pdf,application/pdf,True,1,0.03
data\outros\103080.pdf,application/pdf,True,4,0.06
data\outros\103081.pdf,application/pdf,True,2,0.03
data\outros\103082.pdf,application/pdf,True,5,0.1
data\outros\103083.pdf,application/pdf,True,8,0.21
data\outros\103084.pdf,application/pdf,True,1,0.02
data\outros\103085.pdf,application/pdf,True,4,0.1
data\outros\103086.pdf,application/pdf,True,3,0.06
data\outros\103087.pdf,application/pdf,True,7,0.1
data\outros\103088.pdf,application/pdf,True,5,0.12
data\outros\103089.pdf,application/pdf,True,2,0.03
data\outros\103090.pdf,application/pdf,True,3,0.08
data\outros\103091.pdf,application/pdf,True,6,0.12
data\outros\103092.pdf,application/pdf,True,3,0.09
data\outros\103093.pdf,application/pdf,True,2,0.03
data\outros\103094.pdf,application/pdf,True,2,0.04
data\outros\103095.pdf,application/pdf,True,4,0.06
data\outros\103096.pdf,application/pdf,True,3,0.04
data\outros\103097.pdf,application/pdf,True,2,0.06
