Professor,Artigo
DERZU OMAIA,2D-DCT distance based face recognition using a reduced number of coefficients
DERZU OMAIA,TVGrid: A Grid Architecture to use the idle resources on a Digital TV network
DERZU OMAIA,Automatic generation of Brazilian sign language windows for digital TV systems
DERZU OMAIA,Um sistema para detecção e reconhecimento de face em vídeo utilizando a transformada cosseno discreta
DERZU OMAIA,R&D Progress on TV 3.0 Application Coding Layer
DERZU OMAIA,"Acessibilidade na TV 3.0 Brasileira a partir de mídias de legenda, glosa e áudio descrição"
DERZU OMAIA,Interactive rapid prototyping combining 3D Printing and Augmented Reality
DERZU OMAIA,Realidade aumentada com vuforia e unity
DERZU OMAIA,Interação Háptica em Plataformas Livres
DERZU OMAIA,TVGrid: computaçao em grid utilizando recursos de uma rede de TV digital
DERZU OMAIA,Suporte a Alertas de Emergência na TV 3.0 Brasileira
DERZU OMAIA,Challenges and Lessons Learned to Improve the Deaf User Experience: Compliance with ABNT NBR 17060 Standard in Mobile Applications
DERZU OMAIA,CYPIRP-um processo de prototipagem rápida de produtos com uso de realidade aumentada e impressão 3D
ED PORTO BEZERRA,Regime de informação: abordagens conceituais e aplicações práticas
ED PORTO BEZERRA,Pesquisando na internet: uma análise sobre metodologias utilizadas em dissertações de mestrado do programa de pós-graduação em Ciência da Informação da UFPB
ED PORTO BEZERRA,An infographics-based tool for monitoring dropout risk on distance learning in higher education
ED PORTO BEZERRA,Um sistema de identificação automática de faces para um ambiente virtual de ensino e aprendizagem
ED PORTO BEZERRA,Ferramentas para elaboração de infográficos: um estudo de caso
ED PORTO BEZERRA,O impacto de um processo de planejamento colaborativo sobre a gestão dos riscos na cadeia de suprimentos
ED PORTO BEZERRA,ITV-Learning: a prototype for construction of learning objects for interactive digital television
ED PORTO BEZERRA,Análise de mecanismos de controle de acesso nas redes sociais
ED PORTO BEZERRA,Déficit informacional: obstáculos no uso de canais (in) formacionais por docentes do Programa de Pós-Graduação em Economia–PPGE/UFPB
ED PORTO BEZERRA,Design Audiovisual: a interseção dos estudos de audiência com a Interação Humano-Computador
ED PORTO BEZERRA,The Paulo Freire's Digital Library Project
ED PORTO BEZERRA,A report-type plugin to indicate dropout risk in the virtual learning environment moodle
ED PORTO BEZERRA,Dispositivos móveis como potencializadores da televisão digital interativa: desafios e usos da segunda tela no telejornalismo
ED PORTO BEZERRA,Marker: a tool for building interactive applications for T-learning
ED PORTO BEZERRA,Jornalismo na era das mídias sociais: as transformações e as novas práticas da profissão
ED PORTO BEZERRA,Implementação do Pólo de produção e de Capacitação em Conteúdos Digitais Multimídia no Estado da Paraíba
ED PORTO BEZERRA,Contribuições de um Plugin do tipo Report para a Identificação do Risco de Evasão no AVA Moodle com base em Visualização de Dados
ED PORTO BEZERRA,A Biblioteca Digital Paulo Freire
ED PORTO BEZERRA,Regime de informação: conceitos e aplicações no âmbito de laboratórios de pesquisa científica
ED PORTO BEZERRA,Uma ferramenta para analisar mudanças na coesao entre parlamentares em votaçoes nominais
ED PORTO BEZERRA,EASY-SRA: Um sistema de resposta à audiência para avaliação contínua
ED PORTO BEZERRA,The Importance of digital TV for countries in development: A case study of Brazil
ED PORTO BEZERRA,Góes
ED PORTO BEZERRA,Toca que lá vem história: a reconfiguração das experiências de storytelling nos e-picturebooks infantis
ED PORTO BEZERRA,Sobre a contribuição conceitual da inteligência coletiva ao regime de informação
ED PORTO BEZERRA,Notsys: A Notification System for Users of Compatible Digital Library with Dublin Core
ED PORTO BEZERRA,Estratégia de Comunicação apoiada na hipermídia para formação de empreendedores socialmente responsáveis
