Professor,Artigo
THAIS GAUDENCIO DO REGO,Nenhuma publicação encontrada
TIAGO MARITAN UGULINO DE ARAUJO,An approach to generate and embed sign language video tracks into multimedia contents
TIAGO MARITAN UGULINO DE ARAUJO,CineAD: a system for automated audio description script generation for the visually impaired
TIAGO MARITAN UGULINO DE ARAUJO,TVGrid: A Grid Architecture to use the idle resources on a Digital TV network
TIAGO MARITAN UGULINO DE ARAUJO,Incorporation of syntactic-semantic aspects in a libras machine translation service to multimedia platforms
TIAGO MARITAN UGULINO DE ARAUJO,Uma solução para geração automática de trilhas em língua brasileira de sinais em conteúdos multimídia
TIAGO MARITAN UGULINO DE ARAUJO,Automatic generation of Brazilian sign language windows for digital TV systems
TIAGO MARITAN UGULINO DE ARAUJO,Evaluation of low-cost sensors for weather and carbon dioxide monitoring in internet of things context
TIAGO MARITAN UGULINO DE ARAUJO,Calibration assessment of low-cost carbon dioxide sensors using the extremely randomized trees algorithm
TIAGO MARITAN UGULINO DE ARAUJO,Avaliação de usabilidade do aplicativo vlibras-móvel com usuários surdos
TIAGO MARITAN UGULINO DE ARAUJO,Machine generation of audio description for blind and visually impaired people
TIAGO MARITAN UGULINO DE ARAUJO,CineAD: Um Sistema de Geração Automática de Roteiros de Audiodescrição
TIAGO MARITAN UGULINO DE ARAUJO,Evaluating machine translation systems for Brazilian sign language in the treatment of critical grammatical aspects
TIAGO MARITAN UGULINO DE ARAUJO,Towards an open platform for machine translation of spoken languages into sign languages
TIAGO MARITAN UGULINO DE ARAUJO,DC-GRASP: directing the search on continuous-GRASP
TIAGO MARITAN UGULINO DE ARAUJO,Assessment of the treatment of grammatical aspects of machine translators to Libras
TIAGO MARITAN UGULINO DE ARAUJO,Applying audio description for context understanding of surveillance videos by people with visual impairments
TIAGO MARITAN UGULINO DE ARAUJO,Accessibility in digital cinema: A proposal for generation and distribution of audio description
TIAGO MARITAN UGULINO DE ARAUJO,Providing support for sign languages in middlewares compliant with ITU J. 202
TIAGO MARITAN UGULINO DE ARAUJO,An FPGA implementation of a microprogrammable controller to perform lossless data compression based on the Huffman algorithm
TIAGO MARITAN UGULINO DE ARAUJO,A multiple stream architecture for the recognition of signs in Brazilian sign language in the context of health
TIAGO MARITAN UGULINO DE ARAUJO,Técnicas para avaliação de usabilidade em aplicações de dispositivos móveis: uma revisão sistemática qualitativa da literatura
TIAGO MARITAN UGULINO DE ARAUJO,Delayed diagnosis of intestinal tuberculosis: a case report
TIAGO MARITAN UGULINO DE ARAUJO,FleXLIBRAS: Description and animation of signs in brazilian sign language
TIAGO MARITAN UGULINO DE ARAUJO,An architecture to generate automatic Brazilian sign language legends into Digital Television Systems
TIAGO MARITAN UGULINO DE ARAUJO,Uma solução para geração automática de trilhas em Língua Brasileira de Sinais em conteúdos multimídia.(2012)
TIAGO MARITAN UGULINO DE ARAUJO,A formal language to describe and animate signs in brazilian sign language
TIAGO MARITAN UGULINO DE ARAUJO,A machine translation mechanism of brazilian portuguese to libras with syntactic-semantic adequacy
TIAGO MARITAN UGULINO DE ARAUJO,Primary sternal osteomyelitis caused by methicillin-sensitive Staphylococcus aureus: a diagnosis rare in healthy adults
TIAGO MARITAN UGULINO DE ARAUJO,Analysis of rule-based machine translation and neural machine translation approaches for translating portuguese to libras
TIAGO MARITAN UGULINO DE ARAUJO,Tutaform: a multimedia form for Brazilian deaf users
TIAGO MARITAN UGULINO DE ARAUJO,Accessibility as a service: Augmenting multimedia content with sign language video tracks
TIAGO MARITAN UGULINO DE ARAUJO,R&D Progress on TV 3.0 Application Coding Layer
TIAGO MARITAN UGULINO DE ARAUJO,"Acessibilidade na TV 3.0 Brasileira a partir de mídias de legenda, glosa e áudio descrição"
TIAGO MARITAN UGULINO DE ARAUJO,Participatory design workshops for adapting a form for deaf respondents
TIAGO MARITAN UGULINO DE ARAUJO,Using convolutional neural networks for fingerspelling sign recognition in brazilian sign language
TIAGO MARITAN UGULINO DE ARAUJO,CineLibras: A Proposal for Automatic Generation and Distribution of Windows of Libras on the Cinema Rooms
TIAGO MARITAN UGULINO DE ARAUJO,Wikilibras: collaborative construction of a multimedia dictionary for Brazilian sign language
TIAGO MARITAN UGULINO DE ARAUJO,Avaliação do uso de modelos de aprendizagem profunda na tradução automática de línguas de sinais
TIAGO MARITAN UGULINO DE ARAUJO,A Methodology for Assessing Translation Quality Generated by Sign Language Machine Translators: A Case Study with VLibras
TIAGO MARITAN UGULINO DE ARAUJO,CineLibras: Automatic Generation and Distribution of Libras Tracks for Digital Cinema Platforms
TIAGO MARITAN UGULINO DE ARAUJO,Métodos híbridos baseados em Continuous-GRASP aplicados à otimização global contínua
TIAGO MARITAN UGULINO DE ARAUJO,A Multilevel Methodology to Assess the Quality of Machine Translators to Brazilian Sign Languages
TIAGO MARITAN UGULINO DE ARAUJO,Crowdsourcing in the prioritization of accessibility and usability criteria for autism
TIAGO MARITAN UGULINO DE ARAUJO,Accessible computing
TIAGO MARITAN UGULINO DE ARAUJO,Arrhythmogenic Cardiomyopathy as a Late Complication of COVID-19-Induced Myocarditis
TIAGO MARITAN UGULINO DE ARAUJO,From Kidney to Brain: An Uncommon Severe Relapse of Myeloperoxidase Anti-Neutrophil Cytoplasmic Antibody (MPO-ANCA) Vasculitis
TIAGO MARITAN UGULINO DE ARAUJO,A Two-Stream Model Based on 3D Convolutional Neural Networks for the Recognition of Brazilian Sign Language in the Health Context
TIAGO MARITAN UGULINO DE ARAUJO,Identification of speechless intervals in audio tracks using convolutional neural networks
TIAGO MARITAN UGULINO DE ARAUJO,Shopping assistant chatbots: uma nova solução digital para a empresa netgócio
TIAGO MARITAN UGULINO DE ARAUJO,From VLibras to OpenSigns: Towards an Open Platform for Machine Translation of Spoken Languages into Sign Languages
TIAGO MARITAN UGULINO DE ARAUJO,A Construção do “Maracanazo”: Como os jogadores da seleção brasileira de futebol passaram de heróis à vilões na Copa do Mundo de 19501
TIAGO MARITAN UGULINO DE ARAUJO,Using video embedded markings for supporting content sensitive interaction in multiple contexts
TIAGO MARITAN UGULINO DE ARAUJO,Wikilibras: Construcao colaborativa de um dicionario multimidia em lingua brasileira de sinais
TIAGO MARITAN UGULINO DE ARAUJO,Hibridizando a metaheurística C-GRASP com o método de busca por padrões adaptativos para resolução de problemas de otimização global contínua
TIAGO MARITAN UGULINO DE ARAUJO,TVGrid: computaçao em grid utilizando recursos de uma rede de TV digital
TIAGO MARITAN UGULINO DE ARAUJO,Suporte a Alertas de Emergência na TV 3.0 Brasileira
TIAGO MARITAN UGULINO DE ARAUJO,A Study on Methods of Synchronization
TIAGO MARITAN UGULINO DE ARAUJO,A Study on Methods of Synchronization Between Gestural-Visual and Audiovisual Communication
TIAGO MARITAN UGULINO DE ARAUJO,Digital Resources suiting people on the Autism Spectrum: usability criteria prioritization through crowdsourcing
TIAGO MARITAN UGULINO DE ARAUJO,Automation: Uma Ferramenta para a Evoluçao de um Tradutor Automático Português-Libras com Corpus Colaborativo
TIAGO MARITAN UGULINO DE ARAUJO,Research Article Comparison of Mechanical Resistance to Maximal Torsion Stress in Original and Nonoriginal or Compatible Prosthetic Implant Screws: An In Vitro Study
TIAGO MARITAN UGULINO DE ARAUJO,Avaliação da Audiodescrição Gerada por Sistema: Análise sob a Perspectiva do Usuário
TIAGO MARITAN UGULINO DE ARAUJO,Uma Estratégia de Tradução Automática de Textos em Língua Portuguesa para Glosa em Língua Brasileira de Sinais
TIAGO MARITAN UGULINO DE ARAUJO,Investigação e Desenvolvimento de um Objeto de Aprendizagem para Libras Apoiado por Ferramentas Automáticas
TIAGO MARITAN UGULINO DE ARAUJO,Libras@ RNP: o primeiro serviço para surdos da RNP
TIAGO MARITAN UGULINO DE ARAUJO,"A New, Improved Map of the Araguainha Dome Impact Structure, Central Brazil"
TIAGO MARITAN UGULINO DE ARAUJO,A Scalable and Fault Tolerant Architecture to Provide Deaf Accessibility as a Service
TIAGO MARITAN UGULINO DE ARAUJO,Generating Window of Sign Languages on ITU J. 200-Based Middlewares
TIAGO MARITAN UGULINO DE ARAUJO,Explorando a biodiversidade e evolução:: representações condensadas das eras geológicas e ilustração/indicação de alguns dos principais eventos geo-e biológicos
TIAGO MARITAN UGULINO DE ARAUJO,Modelos pet criatividade eao quando explorando o tema água e corpo humano
TIAGO MARITAN UGULINO DE ARAUJO,Um Estudo sobre o Uso de Marcações Autocontidas em Vídeo para Promoção de Interação Sensível ao Conteúdo em Múltiplos Contextos
TIAGO MARITAN UGULINO DE ARAUJO,Accessibility as a Service: A Scalable Service for Automatic Generation of Sign Language Videos
TIAGO MARITAN UGULINO DE ARAUJO,A Scalable and Fault Tolerant Architecture to Provide Deaf Accessibility as a Service
TIAGO MARITAN UGULINO DE ARAUJO,TREINAMENTO DE UMA REDE PERCEPTRON DE MÚLTIPLAS CAMADAS UTILIZANDO ENHANCED-CONTINUOUS-GRASP
VALDECIR BECKER,"TV digital interativa: conceitos, desafios e perspectivas para o Brasil"
VALDECIR BECKER,Survey of Catch-up TV and other time-shift services: a comprehensive analysis and taxonomy of linear and nonlinear television
VALDECIR BECKER,"TV digital interativa: conceitos, desafios e perspectivas para o Brasil"
VALDECIR BECKER,TV Digital Interativa: conceitos e tecnologias
