id,nome_lutador,apelido,sexo,categoria,win,lose,draw,precisao_striking,sig_pe_str,sig_clinch_str,sig_solo_str,method_ko_tko,method_dec,method_fin,golpes_sig_conectados,golpes_sig_absorvidos,media_quedas,media_fin,defesa_golpes_sig,defesa_quedas,media_knockdowns,tempo_medio,sig_head_str,sig_body_str,sig_leg_str,idade_lutador,altura_lutador,peso_lutador,link_corpo,link_rosto
410,juliana miller,Killer,F,Peso-mosca feminino,5,3,0,0.44,0.62,0.14,0.24,0.25,0.0,0.75,2.73,3.78,2.2,1.26,0.36,0.44,0.0,715,0.89,0.31,0.1,28,67.0,126.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-05/MILLER_JULIANA_L_05-03.png?itok=dcS9AG2W,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/MILLER_JULIANA_05-03.png?itok=BVYL9-Uf
411,bo nickal,,M,Peso-médio,7,1,0,0.59,0.79,0.07,0.14,0.29,0.14,0.57,2.36,2.11,3.34,2.92,0.59,1.0,0.42,308,0.46,0.2,0.19,29,73.0,185.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/NICKAL_BO_L_11-16.png?itok=4nRkBpS2,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/NICKAL_BO_05-03.png?itok=f-d1XBDd
412,daniel marcos,Soncora,M,Peso-galo,17,1,0,0.54,0.86,0.11,0.02,0.47,0.53,0.0,5.11,3.88,0.99,0.0,0.62,0.85,0.5,778,2.96,0.78,0.9,32,67.0,135.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-12/MARCOS_DANIEL_L_02-10.png?itok=nPzZJCZ4,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/MARCOS_DANIEL_05-03.png?itok=_XYi4Aw1
413,serhiy sidey,,M,Peso-galo,12,2,0,0.4,0.9,0.09,0.01,0.58,0.33,0.08,4.49,4.26,1.58,1.26,0.54,0.2,0.32,712,1.28,0.6,0.25,28,71.0,135.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/SIDEY_SERHIY_L_11-02.png?itok=ULrUEhXy,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/SIDEY_SERHIY_05-03.png?itok=qa0mVXXp
414,miesha tate,Cupcake,F,Peso-galo feminino,20,10,0,0.44,0.65,0.17,0.18,0.2,0.4,0.4,2.62,3.05,1.97,1.22,0.51,0.56,0.05,769,4.69,2.05,0.64,39,66.0,135.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/TATE_MIESHA_L_12-02.png?itok=33Mu8swx,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/TATE_MIESHA_05-03.png?itok=Akfm0wJO
415,gillian robertson,The Savage,F,Peso-palha feminino,16,8,0,0.49,0.49,0.03,0.47,0.19,0.25,0.56,2.86,2.86,2.74,0.94,0.57,0.41,0.0,605,3.72,0.88,0.88,30,65.0,115.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ROBERTSON_GILLIAN_L_01-20.png?itok=Jv5pJfIk,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/ROBERTSON_GILLIAN_05-03.png?itok=ZgUOQJ0n
416,quang le,Bang,M,Peso-galo,9,2,0,0.38,0.93,0.06,0.01,0.22,0.33,0.44,2.7,4.53,3.15,0.45,0.48,1.0,0.0,667,0.54,0.29,0.07,33,66.5,135.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/LE_QUANG_L_08-10.png?itok=aoCcTnm4,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/LE_QUANG_05-03.png?itok=x-6HEma2
417,don'tale mayes,King Kong,M,Peso-pesado,11,9,0,0.43,0.75,0.14,0.11,0.64,0.36,0.0,3.22,3.61,0.59,0.0,0.47,0.47,0.25,715,3.61,1.33,0.81,33,78.0,259.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/MAYES_DONTALE_L_02-15.png?itok=kT53zu77,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
418,ivana petrovic,,F,Peso-mosca feminino,7,3,0,0.41,0.69,0.06,0.26,0.43,0.14,0.43,1.91,2.05,2.12,0.8,0.56,0.61,0.0,847,0.68,0.28,0.12,30,68.0,125.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-04/PETROVIC_IVANA_L_04-27.png?itok=YYeoCCRx,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/PETROVIC_IVANA_05-03.png?itok=LDxlGDMo
419,ian machado garry,The Future,M,Peso Meio-Médio,16,1,0,0.54,0.91,0.05,0.05,0.44,0.5,0.06,4.77,2.77,1.02,0.41,0.52,0.74,0.41,884,4.02,1.38,1.63,27,75.0,180.3,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/MACHADO_GARRY_IAN_L_04-26.png?itok=v_vGy_5p,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/MACHADO_GARRY_IAN_04-26.png?itok=MMfHM2uX
