id,nome_lutador,apelido,sexo,categoria,win,lose,draw,precisao_striking,sig_pe_str,sig_clinch_str,sig_solo_str,method_ko_tko,method_dec,method_fin,golpes_sig_conectados,golpes_sig_absorvidos,media_quedas,media_fin,defesa_golpes_sig,defesa_quedas,media_knockdowns,tempo_medio,sig_head_str,sig_body_str,sig_leg_str,idade_lutador,altura_lutador,peso_lutador,link_corpo,link_rosto
1,nassourdine imavov,The Sniper,M,Peso-médio,16,4,0,0.56,0.7,0.17,0.13,0.44,0.31,0.25,4.45,3.26,0.85,1.14,0.59,0.79,0.19,863,4.81,1.41,0.81,29,75.0,185.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/IMAVOV_NASSOURDINE_L_09-28.png?itok=RNQBrxwa,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-01/IMAVOV_NASSOURDINE_02-01.png?itok=9hmLgkVa
2,benoit saint denis,,M,Peso-leve,14,3,0,0.56,0.59,0.2,0.22,0.29,0.0,0.71,5.39,4.61,4.19,1.54,0.42,0.71,0.88,453,2.08,1.06,0.52,29,71.0,156.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-05/SAINT-DENIS_BENOIT_L_05-10.png?itok=RxtxrWwl,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/SAINT-DENIS_BENOIT_05-10.png?itok=AlFLT8cr
3,bolaji oki,Zulu Warrior,M,Peso-leve,10,2,0,0.45,0.95,0.03,0.02,0.5,0.4,0.1,7.05,4.76,1.24,0.0,0.62,0.86,0.41,545,1.89,0.51,0.16,29,70.0,155.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-05/OKI_BOLAJI_L_05-31.png?itok=2K-x2xQy,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/OKI_BOLAJI_05-31.png?itok=jywswhec
4,modestas bukauskas,The Baltic Gladiator,M,Peso meio-pesado,18,6,0,0.43,0.88,0.1,0.02,0.56,0.28,0.17,3.26,4.07,0.31,0.16,0.51,0.78,0.16,576,2.23,0.58,0.32,31,75.0,203.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-05/BUKAUSKAS_MODESTAS_L_05-10.png?itok=ruqp-xv_,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/BUKAUSKAS_MODESTAS_05-10.png?itok=Spb526FJ
5,fares ziam,Smile Killer,M,Peso-leve,17,4,0,0.52,0.7,0.12,0.17,0.35,0.41,0.24,2.85,1.62,1.62,0.25,0.65,0.7,0.12,801,2.23,0.67,0.52,27,73.0,156.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/ZIAM_FARES_L_02-01.png?itok=BiJOenDo,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-01/ZIAM_FARES_02-01.png?itok=pW8URKj4
6,oumar sy,,M,Peso meio-pesado,11,1,0,0.5,0.9,0.1,0.0,0.36,0.27,0.36,3.68,1.81,2.22,0.44,0.71,1.0,0.0,674,0.6,0.28,0.36,29,76.0,206.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/SY_OUMAR_L_09-28.png?itok=fhHJLR-D,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-06/SY_OUMAR_06-14.png?itok=rYq6HCj5
7,marcin tybura,Tybur,M,Peso-pesado,27,9,0,0.49,0.68,0.09,0.23,0.37,0.37,0.26,3.6,3.31,1.39,0.12,0.55,0.75,0.06,675,5.88,1.85,1.18,39,75.0,250.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/TYBURA_MARCIN_L_03-22.png?itok=TYK-aTAG,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-03/TYBURA_MARCIN_03-22.png?itok=JcZDNkQu
8,andreas gustafsson,Bane,M,Peso Meio-Médio,12,2,0,0.77,0.23,0.62,0.15,0.67,0.17,0.17,5.83,2.79,6.43,0.0,0.46,1.0,0.64,700,0.9,0.32,0.14,34,73.0,170.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-06/GUSTAFSSON_ANDREAS_R_06-07.png?itok=aC8jPXU-,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-06/GUSTAFSSON_ANDREAS_06-07.png?itok=YPGMbo9r
9,william gomis,Jaguar,M,Peso-pena,14,3,0,0.52,0.87,0.12,0.01,0.5,0.43,0.07,3.53,2.86,0.62,0.41,0.61,0.74,0.0,868,1.06,0.69,0.8,27,72.0,146.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/GOMIS_WILLIAM_L_09-28.png?itok=CxcnUfFN,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-02/GOMIS_WILLIAM_03-01.png?itok=xlU-NiFL
10,sam patterson,,M,Peso Meio-Médio,13,2,1,0.41,0.88,0.07,0.05,0.38,0.08,0.54,3.17,3.6,1.61,3.23,0.49,0.33,0.81,223,0.47,0.05,0.07,28,75.0,170.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-07/PATTERSON_SAM_L_07-27.png?itok=LJHMaEAB,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-02/PATTERSON_SAM_03-01.png?itok=vVw4yDMH
11,brad tavares,,M,Peso-médio,21,11,0,0.43,0.85,0.12,0.04,0.24,0.67,0.1,3.42,3.28,0.71,0.0,0.55,0.82,0.18,779,6.92,1.88,2.73,37,73.0,185.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/TAVARES_BRAD_L_04-05.png?itok=8Uj1trJ1,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/TAVARES_BRAD_04-05.png?itok=k0k0ulIc
12,shauna bannon,Mama B,F,Peso-palha feminino,7,1,0,0.44,0.95,0.05,0.0,0.29,0.57,0.14,4.77,3.88,0.0,0.78,0.44,0.43,0.0,767,0.82,0.65,0.36,31,65.0,116.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/BANNON_SHAUNA_L_03-22.png?itok=D345TcMd,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-03/BANNON_SHAUNA_03-22.png?itok=-A-Jg21q
13,caio borralho,The Natural,M,Peso-médio,17,1,0,0.6,0.74,0.09,0.17,0.29,0.47,0.24,3.61,2.34,1.56,0.52,0.63,0.77,0.52,771,2.7,0.91,0.56,32,73.5,184.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/BORRALHO_CAIO_L_08-24.png?itok=Y6MA8hlK,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-01/5/BORRALHO_CAIO_08-24.png?itok=FM1NEYvM
14,mauricio ruffy,,M,Peso-leve,12,1,0,0.59,0.81,0.02,0.16,0.92,0.08,0.0,4.54,4.59,0.0,0.0,0.61,1.0,1.23,549,1.25,0.11,0.3,29,71.0,155.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/RUFFY_MAURICIO_L_11-16.png?itok=wbkw3MCH,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-03/RUFFY_MAURICIO_03-08.png?itok=lkzeTesW
15,mason jones,Dragon,M,Peso-leve,12,2,0,0.42,0.75,0.15,0.1,0.33,0.42,0.25,5.56,4.46,4.24,0.0,0.49,0.8,0.0,807,2.46,0.93,0.35,30,70.0,155.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-07/JONES_MASON_L_07-23.png?itok=NTb-xKxP,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/JONES_MASON_05-03.png?itok=EqLoiMjp
16,paul craig,BearJew,M,Peso meio-pesado,17,9,1,0.45,0.67,0.13,0.2,0.24,0.0,0.76,2.54,3.0,1.47,1.38,0.44,0.35,0.09,490,2.11,1.31,0.73,37,75.5,206.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-06/CRAIG_PAUL_L_06-14.png?itok=L_QiiQJO,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-06/CRAIG_PAUL_06-14.png?itok=qkr8h8Bs
17,kaue fernandes,,M,Peso-leve,10,2,0,0.5,0.75,0.0,0.25,0.43,0.14,0.43,0.41,5.7,0.0,0.0,0.29,0.0,0.0,290,0.02,0.01,0.01,30,69.0,155.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-11/FERNANDES_KAUE_L_11-04.png?itok=3jWK_yu-,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-03/FERNANDES_KAUE_03-22.png?itok=3tiREOHP
18,brendson ribeiro,The Gorilla,M,Peso meio-pesado,17,8,0,0.43,0.95,0.02,0.03,0.53,0.06,0.41,3.26,4.04,0.99,0.66,0.52,0.0,0.66,454,0.89,0.27,0.32,28,75.0,205.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-02/RIBEIRO_BRENDSON_L_02-17.png?itok=7u-Trfyu,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-06/RIBEIRO_BRENDSON_06-07.png?itok=JV4svwwb
19,ante delija,Walking Trouble,M,Peso-pesado,17,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,34,76.0,243.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/SHADOW_Fighter_fullLength_RED.png?VersionId=niQpXmYT1tbiETIDAxTsCI5FDbiNt9kI&amp;itok=_gfiLLtV,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
20,rinat fakhretdinov,Gladiator ,M,Peso Meio-Médio,23,1,1,0.53,0.66,0.16,0.18,0.48,0.26,0.26,4.78,3.58,3.95,0.2,0.54,0.92,0.59,759,2.56,0.5,0.57,33,72.0,171.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/FAKHRETDINOV_RINAT_L_10-26.png?itok=kEINIa3I,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2024-10/2/FAKHRETDINOV_RINAT_10-26.png?itok=YcTlmvzo
21,trey waters,The Truth,M,Peso Meio-Médio,9,1,0,0.44,0.98,0.01,0.0,0.38,0.25,0.38,6.43,5.61,0.44,0.88,0.57,0.86,0.0,684,2.0,0.14,0.06,28,77.0,171.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/WATERS_TREY_L_04-29.png?itok=REUA0Siq,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2023-04/WATERS_TREY_04_28.png?itok=ofkPUbQD
22,robert bryczek,,M,Peso-médio,17,6,0,0.24,0.94,0.06,0.0,0.65,0.29,0.06,2.13,4.47,0.0,0.0,0.6,1.0,0.0,900,0.19,0.1,0.03,33,72.0,185.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-02/BRYZCEK_ROBERT_L_02-10.png?itok=-wccxWxP,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2024-02/BRYZCEK_ROBERT_02-10.png?itok=SZlkNGh2
23,sam hughes,Sampage,F,Peso-palha feminino,10,6,0,0.47,0.77,0.1,0.12,0.2,0.5,0.3,4.41,4.57,1.08,0.11,0.59,0.6,0.0,833,4.12,1.06,0.94,32,65.0,116.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-02/HUGHES_SAM_L_02-24.png?itok=oFKTT4Dz,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-03/HUGHES_SAM_03-15.png?itok=dcdvhokt
24,diego lopes,,M,Peso-pena,26,7,0,0.47,0.71,0.1,0.19,0.38,0.15,0.46,3.7,4.76,0.35,1.95,0.47,0.68,0.71,636,2.32,0.41,0.41,30,71.0,145.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/LOPES_DIEGO_L_09-14.png?itok=M6HzRIKZ,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/LOPES_DIEGO_04-12.png?itok=831XjX0V
25,rob font,,M,Peso-galo,22,8,0,0.46,0.89,0.07,0.05,0.41,0.41,0.18,5.49,3.67,0.79,0.36,0.57,0.42,0.42,783,10.31,2.39,0.92,38,68.0,138.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/FONT_ROB_L_02-22.png?itok=slJuDynD,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-02/FONT_ROB_02-22.png?itok=t4qvnTbH
26,rafa garcia,Gifted,M,Peso-leve,17,4,0,0.44,0.85,0.1,0.05,0.06,0.41,0.53,4.01,4.47,3.21,0.25,0.61,0.77,0.0,810,3.77,0.72,0.38,30,67.0,155.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/GARCIA_RAFA_L_03-29.png?itok=GS5Uqo_E,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-03/GARCIA_RAFA_03-29.png?itok=SyHsS7bk
27,jose daniel medina,Chicho,M,Peso-médio,11,5,0,0.37,0.86,0.07,0.07,0.73,0.09,0.18,2.18,5.25,0.45,0.0,0.47,0.31,0.0,671,0.46,0.15,0.12,33,72.0,186.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/MEDINA_JOSE_L_03-29.png?itok=khWvfpRi,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-03/MEDINA_JOSE_03-29.png?itok=4NR7mKJC
28,claudio puelles,Prince of Peru,M,Peso-leve,13,4,0,0.5,0.53,0.06,0.41,0.15,0.31,0.54,1.56,2.78,3.17,1.17,0.46,0.6,0.0,674,0.86,0.45,0.09,27,70.0,168.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-02/PUELLES_CLAUDIO_L_02-24.png?itok=hPC8L34b,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2024-02/PUELLES_CLAUDIO_02-24.png?itok=d6qtFw7u
29,tatiana suarez,,F,Peso-palha feminino,11,1,0,0.62,0.3,0.12,0.58,0.18,0.27,0.55,3.22,1.58,4.65,0.66,0.47,0.8,0.0,678,1.58,0.79,0.54,34,65.0,114.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/SAUREZ_TATIANA_L_02-25.png?itok=TShyBtlw,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-02/SUAREZ_TATIANA_02-08.png?itok=hVDuo3P-
30,zachary reese,Savage,M,Peso-médio,9,2,0,0.54,0.72,0.07,0.21,0.56,0.22,0.22,4.28,2.99,2.88,1.23,0.44,0.58,0.41,365,0.85,0.46,0.25,31,76.0,185.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-05/REESE_ZACHARY_L_05-31.png?itok=sY_ExjZb,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/REESE_ZACHARY_05-31.png?itok=Hihm3My7
31,edgar chairez,Puro Chicali,M,Peso-mosca,12,6,0,0.44,0.97,0.02,0.02,0.33,0.0,0.67,3.44,5.08,0.0,1.68,0.43,0.33,0.28,536,1.02,0.28,0.54,29,67.0,126.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/CHAIREZ_EDGAR_L_03-29.png?itok=3DM98Yh7,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-03/CHAIREZ_EDGAR_03-29.png?itok=VziQbbk2
32,jesus aguilar,,M,Peso-mosca,11,3,0,0.46,0.67,0.11,0.22,0.09,0.27,0.64,1.73,1.1,1.83,1.83,0.59,0.4,0.3,492,0.59,0.11,0.15,28,64.0,125.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/AGUILLAR_JESUS_L.png?itok=ii_tkP3k,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-02/AGUILAR_JESUS_02-15.png?itok=NyO9qegC
33,montserrat rendon,Monster,F,Peso-galo feminino,6,1,0,0.29,0.85,0.01,0.14,0.0,1.0,0.0,3.13,3.9,3.0,0.0,0.55,1.0,0.0,900,0.64,0.15,0.15,35,68.0,135.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-03/RENDON_MONTSERRAT_L_09-23.png?itok=Ks4GzwAs,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2023-09/RENDON_MONTSERRAT_09-23.png?itok=W4vnuR07
34,jean silva,Lord,M,Peso-pena,16,2,0,0.52,0.82,0.14,0.05,0.75,0.06,0.19,4.87,4.13,0.6,0.9,0.57,0.86,1.5,502,1.73,0.65,0.06,28,67.0,146.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/SILVA_JEAN_L_02-22.png?itok=OU8Ad-Xw,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/SILVA_JEAN_04-12.png?itok=59H7TonW
35,raul rosas jr.,El Nino Problema,M,Peso-galo,11,1,0,0.45,0.61,0.01,0.38,0.18,0.27,0.55,1.51,1.37,4.01,1.06,0.5,0.0,0.21,609,0.71,0.13,0.23,20,69.0,135.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/ROSAS_JR_RAUL_L_03-29.png?itok=7013ghuD,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-03/ROSAS_JR_RAUL_03-29.png?itok=CwKTNjgD
36,jared gordon,Flash,M,Peso-leve,21,7,0,0.56,0.68,0.13,0.19,0.38,0.52,0.1,5.67,3.91,1.83,0.0,0.57,0.63,0.17,647,7.19,1.63,0.96,36,69.0,156.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-05/GORDON_JARED_L_05-17.png?itok=GSdzUGpu,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/GORDON_JARED_05-17.png?itok=eIvJR3D1
37,dusko todorovic,Thunder,M,Peso-médio,12,6,0,0.57,0.47,0.34,0.19,0.67,0.08,0.25,4.79,4.53,1.5,0.19,0.48,0.43,0.0,481,2.57,1.02,0.25,31,73.0,186.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-08/4526cb41-c0d2-423a-ad18-d8efe88477f3%252FTODOROVIC_DUSKO_L_05-21.png?itok=MUNhfB6s,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/TODOROVIC_DUSKO_05-31.png?itok=Uow5iR7n
38,joaquim silva,Netto BJJ,M,Peso-leve,13,6,0,0.43,0.76,0.17,0.07,0.58,0.17,0.25,3.66,4.53,0.39,0.78,0.53,0.69,0.39,633,2.51,1.2,0.53,35,68.0,168.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-05/SILVA_JOAQUIM_L_05-04.png?itok=jIBj_qtZ,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2024-05/SILVA_JOAQUIM_05-04.png?itok=LamHTOuP
39,amanda lemos,,F,Peso-palha feminino,15,4,1,0.54,0.7,0.14,0.16,0.53,0.27,0.2,2.89,3.46,1.14,0.68,0.45,0.59,0.68,607,2.46,0.82,0.52,38,64.0,116.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/LEMOS_AMANDA_L_03-08.png?itok=9-WxXPgH,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-03/LEMOS_AMANDA_03-08.png?itok=OVGhMgHv
40,sedriques dumas,The Reaper,M,Peso-médio,10,3,0,0.45,0.79,0.02,0.19,0.4,0.4,0.2,2.1,2.5,1.25,0.25,0.56,0.4,0.0,513,0.62,0.2,0.44,29,74.0,185.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-03/DUMAS_SEDRIQUES_L_03-11.png?itok=R4kBaL5J,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2023-06/DUMAS_SEDRIQUES_06-24.png?itok=acSqlaKV
41,alessandro costa,Nono,M,Peso-mosca,14,4,0,0.48,0.76,0.1,0.14,0.33,0.17,0.5,4.14,3.5,0.27,0.0,0.58,0.91,0.82,658,1.26,0.46,0.55,28,64.0,140.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-05/COSTA_ALESSANDRO_L_05-04.png?itok=LL-p8sL3,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2024-05/COSTA_ALESSANDRO_05-04.png?itok=lbgB4gpY
42,luis gurule,Grim,M,Peso-mosca,10,1,0,0.49,0.91,0.09,0.0,0.5,0.4,0.1,5.34,3.74,0.68,0.0,0.58,0.5,0.0,657,0.82,0.16,0.19,31,65.0,125.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/4/GURULE_LUIS_L_10-15.png?itok=5zwyTncO,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/GURULE_LUIS_04-05.png?itok=HmXVEzwy
43,carlos ulberg,Black Jag,M,Peso meio-pesado,13,1,0,0.55,0.9,0.04,0.06,0.54,0.31,0.15,6.77,4.21,0.58,0.19,0.52,0.86,1.16,465,3.16,0.88,1.21,34,76.0,205.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ULBERG_CARLOS_L_05-11.png?itok=TbrahinA,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-03/ULBERG_CARLOS_03-22.png?itok=EUrDXLtY
44,jimmy crute,,M,Peso meio-pesado,13,4,2,0.52,0.69,0.13,0.18,0.38,0.23,0.38,4.17,3.68,4.2,1.91,0.42,0.58,0.76,393,2.37,0.5,0.41,29,74.0,205.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-07/CRUTE_JIMMY_L_07-19.png?itok=8VBTbXTX,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-07/CRUTE_JIMMY_07-19.png?itok=g2p0Gemr
45,tom nolan,Big Train,M,Peso-leve,9,1,0,0.46,0.81,0.15,0.04,0.56,0.44,0.0,5.82,4.85,0.41,1.65,0.46,0.67,0.83,435,1.09,0.66,0.36,24,75.0,155.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/NOLAN_TOM_L_02-08.png?itok=5HHrJU74,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-02/NOLAN_TOM_02-08.png?itok=EV7nt1m-
46,junior tafa,The Jaggernaut,M,Peso meio-pesado,6,4,0,0.51,0.76,0.18,0.06,1.0,0.0,0.0,3.19,2.49,0.0,0.0,0.52,0.69,0.34,442,1.19,0.21,0.01,28,75.0,206.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-07/TAFA_JUNIOR_L_07-12.png?itok=TNrY_EzM,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-07/TAFA_JUNIOR_07-12.png?itok=VkeRUpfT
47,navajo stirling,,M,Peso meio-pesado,7,0,0,0.53,0.85,0.06,0.1,0.57,0.43,0.0,6.43,2.49,1.2,0.0,0.61,0.79,0.8,747,1.03,0.78,0.59,27,76.0,205.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-05/STIRLING_NAVAJO_L_05-10.png?itok=kvdtxWfF,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/STIRLING_NAVAJO_05-10.png?itok=jXcvxTmA
48,daniel santos,Willycat,M,Peso-pena,13,2,0,0.4,0.74,0.09,0.17,0.46,0.38,0.15,4.74,4.96,3.03,0.0,0.52,0.73,0.28,817,1.68,0.62,0.28,30,67.0,146.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-05/SANTOS_DANIEL_L_05-10.png?itok=KGmnbHtO,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/SANTOS_DANIEL_05-10.png?itok=L8xjoznQ
49,loma lookboonmee,,F,Peso-palha feminino,10,3,0,0.56,0.55,0.37,0.07,0.1,0.8,0.1,3.87,2.47,2.03,0.12,0.52,0.74,0.0,838,1.76,2.2,0.9,29,61.0,115.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/LOOKBOONMEE_LOMA_L_04-05.png?itok=xVP_ZvLz,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/LOOKBOONMEE_LOMA_04-05.png?itok=4AKls8OT
50,colby thicknesse,Slickness,M,Peso-galo,7,1,0,0.3,0.92,0.08,0.0,0.29,0.43,0.29,2.53,2.73,0.0,0.0,0.48,0.5,0.0,900,0.18,0.12,0.08,25,67.0,135.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/THICKNESSE_COLBY_L_02-08.png?itok=IGGjmZwb,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-02/THICKNESSE_COLBY_02-08.png?itok=ghxiULor
51,jamie mullarkey,Hooligan,M,Peso-leve,17,8,0,0.47,0.85,0.09,0.05,0.63,0.19,0.19,4.39,4.53,2.31,0.14,0.54,0.79,0.29,566,2.26,1.02,1.28,29,72.0,171.9,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-12/MULLARKEY_JAMIE_L_09-09.png?itok=oQ03a5HI,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2024-05/MULLARKEY_JAMIE_05-04.png?itok=OkTVNp7B
52,dominick reyes,The Devastator,M,Peso meio-pesado,15,4,0,0.54,0.73,0.11,0.16,0.67,0.2,0.13,5.58,3.54,0.31,0.31,0.5,0.83,1.07,454,3.21,1.33,0.95,35,76.0,206.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/REYES_DOMINICK_L_12-07.png?itok=2eDmg2NF,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/REYES_DOMINICK_04-12.png?itok=pqOUSYEe
53,ivan erslan,,M,Peso meio-pesado,14,5,0,0.44,0.92,0.07,0.01,0.71,0.21,0.07,2.5,5.17,0.5,0.0,0.55,0.65,0.0,900,0.57,0.14,0.04,33,74.0,205.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/ERSLAN_IVAN_R_09-28.png?itok=jT2NsGF7,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-05/ERSLAN_IVAN_05-10.png?itok=wlY-e9MT
54,evan elder,The Phenom ,M,Peso-leve,10,2,0,0.51,0.92,0.04,0.04,0.4,0.4,0.2,5.66,4.94,0.48,0.48,0.57,0.4,0.48,749,1.62,1.34,0.57,28,70.0,156.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/ELDER_EVAN_L_04-26.png?itok=v3OfkrS5,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/ELDER_EVAN_04-26.png?itok=LDtVSN4m
55,ibo aslan,The Last Ottoman,M,Peso meio-pesado,14,3,0,0.47,0.9,0.07,0.04,1.0,0.0,0.0,5.09,3.47,0.0,0.0,0.6,0.87,0.92,391,1.24,0.15,0.27,29,75.0,204.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-07/ASLAN_IBO_L_07-26.png?itok=yQejwoUL,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-07/ASLAN_IBO_07-26.png?itok=p-TRfcm9
56,rodolfo bellato,Trator,M,Peso meio-pesado,12,2,1,0.62,0.59,0.22,0.19,0.58,0.08,0.33,5.84,6.0,1.26,0.31,0.46,1.0,0.31,572,1.74,0.57,0.47,29,75.0,205.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-05/BELLATO_RODOLFO_L.png?itok=LLr--jx4,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-06/BELLATO_RODOLFO_06-14.png?itok=dHJ-By9o
57,joosang yoo,Zombie Jr.,M,Peso-pena,9,0,0,0.75,0.83,0.0,0.17,0.44,0.44,0.11,12.86,4.29,0.0,0.0,0.5,0.0,32.14,28,0.04,0.0,0.02,31,67.0,145.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-06/YOO_JOOSANG_R_06-07.png?itok=Up6Wr-xd,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-06/YOO_JOOSANG_06-07.png?itok=f972YgsP
